cortar,Camara,tiktok_id,url
no,normal,hammerthrow,https://www.tiktok.com/@itsnady_/video/7061780490864348462?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@j.swags/video/6845273301116259589?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@kira__paige/video/6872122400599772422?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@dawidpilat339/video/7064693893253598469?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6959425587924438274?is_copy_url=1&is_from_webapp=v1
no,pendiente,hammerthrow,https://www.tiktok.com/@annamariaorel/video/7043167767490497797?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@itsnady_/video/6998791514373606661?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6902641693833661698?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@d_haugh/video/6984615363753331974?is_copy_url=1&is_from_webapp=v1
no,pendiente,hammerthrow,https://www.tiktok.com/@chasingr8ness/video/6814254249858387205?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@esrefapak/video/6905302851128446209?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@_ariel34_/video/7069086761665858862?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@chasingr8ness/video/6812775231300717829?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@d_haugh/video/7076271375048035627?is_copy_url=1&is_from_webapp=v1
si,lento,hammerthrow,https://www.tiktok.com/@esrefapak/video/6821846391824911621?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@manos_kamtsiklis_ht/video/6789324249392794886?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@saltsmanal101/video/7073258693181050154?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@naethrowsheavyrock/video/6963453320178486534?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@naethrowsheavyrock/video/6963453320178486534?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@naethrowsheavyrock/video/6963453320178486534?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@naethrowsheavyrock/video/6963453320178486534?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@nbcolympics/video/7037244734187801903?is_copy_url=1&is_from_webapp=v1
no,normal,hammerthrow,https://www.tiktok.com/@tinathrows/video/7012953578155330821?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@kira__paige/video/6864912271521402117?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@kira__paige/video/6903993203439996165?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@kira__paige/video/6903993203439996165?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@thearianarodriguez/video/7044166811054689583?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@alvarolocatelli/video/6925058984735001862?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@alvarolocatelli/video/6925058984735001862?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@alvarolocatelli/video/6925058984735001862?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@hammer_2110/video/7053675242618719489?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@katiefeeneyy/video/7023384203177839878?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@katiefeeneyy/video/7023384203177839878?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@rachelrockks/video/6945212421799677190?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@rachelrockks/video/6945212421799677190?is_copy_url=1&is_from_webapp=v1
si,normal,hammerthrow,https://www.tiktok.com/@marcorocko_1/video/7077351889163144494?is_copy_url=1&is_from_webapp=v1
si,pendiente,hammerthrow,https://www.tiktok.com/@trackandfieldathletics/video/7045992227922775323?is_copy_url=1&is_from_webapp=v1
no,lento,javelin,https://www.tiktok.com/@alexpvisan/video/6784147337448066309?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@runnsphere/video/7009805067159227654?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@itsjturp/video/6665310143430790405?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@worldathletics/video/6977766046224731398?is_copy_url=1&is_from_webapp=v1
no,normal,javelin,https://www.tiktok.com/@throwsu/video/6865106686273703174?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@usatf/video/6883139939337342213?is_copy_url=1&is_from_webapp=v1
no,lento,javelin,https://www.tiktok.com/@mayer.deca/video/7054254279862897925?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@nodaysoff/video/7058713334610414895?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@letting.it.rip/video/6969637767881985286?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@uvathrows/video/6955976110064536837?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@runjunpegu2016/video/6815956905068989697?is_copy_url=1&is_from_webapp=v1
no,lento,javelin,https://www.tiktok.com/@itza.ceja.garcia/video/7006725690137513221?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@runnsphere/video/7058338332878589190?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@melbsboy/video/6993288177817521410?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@vikrant_bhairav/video/6836812051311070466?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@itza.ceja.garcia/video/7011907311501380869?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@rizwan_rozi/video/6980821108933119259?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@tmjavelin/video/6873095381157186821?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@tahliaanderson65/video/6862252528839494917?is_copy_url=1&is_from_webapp=v1
no,normal,javelin,https://www.tiktok.com/@healthythrower/video/7002799851201236229?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@nodaysoff/video/7072451364013739310?is_copy_url=1&is_from_webapp=v1
no,normal,javelin,https://www.tiktok.com/@lydiesenange/video/6838976568845438214?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@akay_bhati/video/6630350453664140550?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@jinkbros/video/6861480290536262913?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@jorden_hall/video/6800027065677581574?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@jorden_hall/video/6800027065677581574?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@you1stlondon/video/6870886911838260481?is_copy_url=1&is_from_webapp=v1
no,lento,javelin,https://www.tiktok.com/@heyandywhite/video/6787513903766064390?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@rizwan_rozi/video/6982319041557974299?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@lydiesenange/video/6827042955501636870?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@healthythrower/video/6723051417654922501?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@nodaysoff/video/7076520849452322090?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@nicazsiros/video/6881859173303274757?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@chentelastra/video/6796839606353497349?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@yasir__sultan/video/7034597549461851418?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@yasir__sultan/video/7041281487072759066?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@nzxhr/video/6980958402881146118?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@itza.ceja.garcia/video/7057310828529323270?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@javelinthrower21/video/6932560178487315718?is_copy_url=1&is_from_webapp=v1
no,pendiente,javelin,https://www.tiktok.com/@hernawan_sb/video/7064519690227289371?is_copy_url=1&is_from_webapp=v1
no,lento,javelin,https://www.tiktok.com/@ankushpunia/video/6794735881866546433?is_copy_url=1&is_from_webapp=v1
no,lento,javelin,https://www.tiktok.com/@itza.ceja.garcia/video/7056199521931431173?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@uvathrows/video/6958833150193634565?is_copy_url=1&is_from_webapp=v1
si,lento,javelin,https://www.tiktok.com/@uvathrows/video/6958833150193634565?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@itza.ceja.garcia/video/6970364585576647941?is_copy_url=1&is_from_webapp=v1
no,normal,javelin,https://www.tiktok.com/@chan_taemac/video/6974820870330109189?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@matthias.lasch/video/6996794952185433350?is_copy_url=1&is_from_webapp=v1
si,pendiente,javelin,https://www.tiktok.com/@uvathrows/video/7078132154638781742?is_copy_url=1&is_from_webapp=v1
si,normal,javelin,https://www.tiktok.com/@uvathrows/video/7078132154638781742?is_copy_url=1&is_from_webapp=v1
